iso_code,Country,Continent,Specific Sub-Region,Date Range,total_cases,Cases per Pop,total_deaths,Deaths per Pop,Fatality,stringency_index,population,gdp_per_capita,human_development_index,Social support_2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019,happiness score 2019,Happiness Score 2020,Social support_2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020
TWN,Taiwan,Asia,Eastern Asia,2019-12-31 - 2020-10-19,540,2.27E-05,7,2.94E-07,0.012962963,21.67836146,23816775,0,0,1.43,0.914,0.351,0.242,0.097,6.446,6.4554,1.357761,0.878438,0.449404,0.150599,0.131516
TJK,Tajikistan,Asia,Central Asia,2020-05-01 - 2020-10-19,10493,0.001100167,80,8.39E-06,0.00762413,52.0769535,9537642,2896.913,0.65,1.098,0.718,0.389,0.23,0.144,5.467,5.5557,1.218378,0.680595,0.521141,0.182417,0.22178
TZA,Tanzania,Africa,Sub-Saharan Africa,2020-03-17 - 2020-10-19,509,8.52E-06,21,3.52E-07,0.041257367,31.49023259,59734213,2683.304,0.538,0.885,0.499,0.417,0.276,0.147,3.231,3.4762,0.872675,0.442678,0.509343,0.271541,0.203881
THA,Thailand,Asia,South-eastern Asia,2019-12-31 - 2020-10-19,3691,5.29E-05,59,8.45E-07,0.015984828,43.39724912,69799978,16277.671,0.755,1.409,0.828,0.557,0.359,0.028,6.008,5.9988,1.34752,0.793856,0.60945,0.376709,0.031838
TGO,Togo,Africa,Sub-Saharan Africa,2020-03-04 - 2020-10-19,2057,0.000248468,51,6.16E-06,0.024793388,54.84194221,8278737,1429.813,0.503,0.572,0.41,0.293,0.177,0.085,4.085,4.1872,0.547623,0.342731,0.303539,0.200774,0.114826
TTO,Trinidad and Tobago,South America,Latin America and the Caribbean,2020-03-13 - 2020-10-19,5297,0.003784948,96,6.86E-05,0.018123466,74.03656182,1399491,28763.071,0.784,1.477,0.713,0.489,0.185,0.016,6.192,6.1919,1.407326,0.658829,0.552931,0.199358,0.015078
TUN,Tunisia,Africa,Northern Africa,2020-03-03 - 2020-10-19,40542,0.00343035,626,5.30E-05,0.015440777,40.74,11818618,10849.297,0.735,1,0.815,0.167,0.059,0.055,4.461,4.3922,0.872168,0.781157,0.235861,0.055881,0.0439
TUR,Turkey,Asia,Western Asia,2020-03-12 - 2020-10-19,347493,0.00412019,9296,0.000110222,0.026751618,64.09203076,84339067,25129.341,0.791,1.36,0.808,0.195,0.083,0.106,5.373,5.1318,1.197159,0.781335,0.254401,0.085886,0.120983
UGA,Uganda,Africa,Sub-Saharan Africa,2020-03-22 - 2020-10-19,10590,0.000231521,97,2.12E-06,0.009159585,69.44,45741000,1697.707,0.516,1.538,0.657,0.394,0.244,0.028,4.189,4.432,1.052327,0.378312,0.401683,0.264807,0.063819
UKR,Ukraine,Europe,Eastern Europe,2020-03-04 - 2020-10-19,303638,0.006942874,5673,0.000129717,0.018683432,65.19451893,43733759,7894.393,0.751,1.069,0.443,0.356,0.252,0.06,4.332,4.5607,1.321316,0.698674,0.319424,0.178551,0.009651
ARE,United Arab Emirates,Asia,Western Asia,2019-12-31 - 2020-10-19,115602,0.011688304,463,4.68E-05,0.004005121,46.83799093,9890400,67293.483,0.863,1.39,0.739,0.178,0.187,0.01,6.825,6.7908,1.251171,0.787814,0.652936,0.280656,0.220214
GBR,United Kingdom,Europe,Northern Europe,2019-12-31 - 2020-10-19,722409,0.010641501,43646,0.000642931,0.060417298,52.88262346,67886004,39753.244,0.922,1.31,0.825,0.598,0.262,0.182,7.054,7.1645,1.457845,0.9757,0.525169,0.373433,0.322602
USA,United States,North America,Northern America,2019-12-31 - 2020-10-19,8154595,0.024636042,219674,0.000663662,0.026938677,52.45894883,331002647,54225.446,0.924,1.538,0.996,0.45,0.348,0.278,6.892,6.9396,1.404787,0.831618,0.534608,0.298143,0.152285
URY,Uruguay,South America,Latin America and the Caribbean,2020-03-15 - 2020-10-19,2531,0.000728612,51,1.47E-05,0.020150138,45.64600917,3473727,20551.409,0.804,1.465,0.891,0.523,0.127,0.15,6.293,6.4401,1.425081,0.856929,0.594267,0.132144,0.193425
